Name,Region,state,summit_elev,vertical_drop,base_elev,trams,fastSixes,fastQuads,quad,triple,double,surface,total_chairs,Runs,TerrainParks,LongestRun_mi,SkiableTerrain_ac,Snow Making_ac,daysOpenLastYear,yearsOpen,averageSnowfall,AdultWeekend,projectedDaysOpen,NightSkiing_ac,resort_skiable_area_ac_state_ratio,resort_days_open_state_ratio,resort_terrain_park_state_ratio,resort_night_skiing_state_ratio,resorts_per_state,resorts_per_100kcapita,resorts_per_100ksq_mile,total_chairs_runs_ratio,total_chairs_skiable_ratio,fastQuads_runs_ratio,fastQuads_skiable_ratio
Appalachian Ski Mountain,North Carolina,North Carolina,4000,365,3635,0,0,0,2,0,1,2,5,12.0,3.0,0.5,27.0,27.0,100.0,57.0,50.0,64.0,100.0,27.0,4.5,0.1976284584980237,0.3333333333333333,0.08059701492537312,6,0.057207779800390615,11.148479161634366,0.4166666666666667,0.1851851851851852,0.0,0.0
Cataloochee Ski Area,North Carolina,North Carolina,5400,740,4660,0,0,0,1,1,1,2,5,18.0,2.0,1.0,50.0,50.0,141.0,58.0,50.0,70.0,108.0,50.0,8.333333333333334,0.27865612648221344,0.2222222222222222,0.14925373134328354,6,0.057207779800390615,11.148479161634366,0.2777777777777778,0.1,0.0,0.0
Sapphire Valley,North Carolina,North Carolina,3450,200,3200,0,0,0,1,0,0,2,3,,1.0,1.0,8.0,8.0,53.0,55.0,24.0,43.0,60.0,8.0,1.3333333333333333,0.10474308300395258,0.1111111111111111,0.023880597014925373,6,0.057207779800390615,11.148479161634366,,0.375,,0.0
Beech Mountain Resort,North Carolina,North Carolina,5506,830,4675,0,0,0,3,0,3,2,8,17.0,1.0,1.0,95.0,95.0,98.0,52.0,31.0,68.0,,95.0,15.833333333333336,0.19367588932806326,0.1111111111111111,0.2835820895522388,6,0.057207779800390615,11.148479161634366,0.4705882352941176,0.08421052631578947,0.0,0.0
Sugar Mountain Resort,North Carolina,North Carolina,5300,1200,4100,0,1,0,0,1,4,2,8,21.0,1.0,1.5,125.0,125.0,114.0,50.0,77.0,75.0,120.0,95.0,20.83333333333333,0.22529644268774704,0.1111111111111111,0.2835820895522388,6,0.057207779800390615,11.148479161634366,0.3809523809523809,0.064,0.0,0.0
Wolf Ridge Ski Resort,North Carolina,North Carolina,4700,720,4000,0,0,0,1,0,1,2,4,15.0,1.0,0.6,65.0,65.0,,49.0,65.0,65.0,100.0,60.0,10.833333333333336,,0.1111111111111111,0.1791044776119403,6,0.057207779800390615,11.148479161634366,0.26666666666666666,0.061538461538461535,0.0,0.0
Alpine Valley,Ohio,Ohio,1500,230,1260,0,0,0,1,2,1,1,5,11.0,1.0,0.2,72.0,72.0,105.0,53.0,120.0,43.0,,72.0,14.4,0.2147239263803681,0.08333333333333333,0.17102137767220904,5,0.042774892848893416,11.154240842368267,0.4545454545454545,0.06944444444444445,0.0,0.0
Boston Mills,Ohio,Ohio,871,264,631,0,0,0,0,4,2,2,8,7.0,2.0,0.3,40.0,40.0,92.0,56.0,51.0,44.0,110.0,40.0,8.0,0.18813905930470348,0.16666666666666666,0.09501187648456057,5,0.042774892848893416,11.154240842368267,1.1428571428571428,0.2,0.0,0.0
Brandywine,Ohio,Ohio,871,240,631,0,0,0,2,7,2,5,16,11.0,2.0,0.3,85.0,85.0,92.0,56.0,51.0,44.0,110.0,85.0,17.0,0.18813905930470348,0.16666666666666666,0.2019002375296912,5,0.042774892848893416,11.154240842368267,1.4545454545454546,0.18823529411764706,0.0,0.0
Mad River Mountain,Ohio,Ohio,1460,300,1160,0,0,0,1,2,3,6,12,20.0,4.0,0.5,144.0,144.0,99.0,57.0,36.0,44.0,90.0,144.0,28.8,0.20245398773006132,0.3333333333333333,0.3420427553444181,5,0.042774892848893416,11.154240842368267,0.6,0.08333333333333333,0.0,0.0
