Name,Region,state,summit_elev,vertical_drop,base_elev,trams,fastSixes,fastQuads,quad,triple,double,surface,total_chairs,Runs,TerrainParks,LongestRun_mi,SkiableTerrain_ac,Snow Making_ac,daysOpenLastYear,yearsOpen,averageSnowfall,AdultWeekend,projectedDaysOpen,NightSkiing_ac,resort_skiable_area_ac_state_ratio,resort_days_open_state_ratio,resort_terrain_park_state_ratio,resort_night_skiing_state_ratio,resorts_per_state,resorts_per_100kcapita,resorts_per_100ksq_mile,total_chairs_runs_ratio,total_chairs_skiable_ratio,fastQuads_runs_ratio,fastQuads_skiable_ratio
Magic Mountain,Vermont,Vermont,2850,1500,1350,0,0,0,0,0,3,3,6,50.0,1.0,1.6,205.0,95.0,76.0,59.0,150.0,74.0,80.0,,13.666666666666664,0.04276871131119865,0.02,,15,2.403888530086268,155.99001663893512,0.12,0.02926829268292683,0.0,0.0
Pico Mountain,Vermont,Vermont,3967,1967,2000,0,0,2,0,2,2,1,7,59.0,1.0,4.0,260.0,156.0,,82.0,250.0,81.0,,,17.333333333333332,,0.02,,15,2.403888530086268,155.99001663893512,0.11864406779661014,0.026923076923076925,0.03389830508474576,0.007692307692307694
Smugglers' Notch Resort,Vermont,Vermont,3640,2610,1030,0,0,0,0,0,6,2,8,78.0,6.0,3.0,1000.0,192.0,136.0,63.0,280.0,79.0,135.0,,66.66666666666667,0.07653348339898705,0.12,,15,2.403888530086268,155.99001663893512,0.10256410256410256,0.008,0.0,0.0
Sugarbush,Vermont,Vermont,4083,2600,1483,0,0,5,5,2,1,3,16,111.0,4.0,3.0,581.0,406.0,150.0,61.0,250.0,119.0,156.0,,38.73333333333333,0.08441193021947102,0.08,,15,2.403888530086268,155.99001663893512,0.14414414414414414,0.027538726333907058,0.045045045045045036,0.008605851979345954
Suicide Six,Vermont,Vermont,1200,650,550,0,0,0,0,0,2,1,3,24.0,,0.4,100.0,50.0,100.0,85.0,90.0,75.0,106.0,,6.666666666666668,0.05627462014631402,,,15,2.403888530086268,155.99001663893512,0.125,0.03,0.0,0.0
Bryce Resort,Virginia,Virginia,1750,500,1250,0,0,0,1,0,1,5,7,8.0,,0.4,25.0,25.0,100.0,54.0,30.0,68.0,95.0,20.0,6.25,0.27322404371584696,,0.14814814814814814,4,0.04686299684881493,9.35125657510228,0.875,0.28,0.0,0.0
49 Degrees North,Washington,Washington,5774,1851,3932,0,0,0,1,0,5,1,7,89.0,1.0,2.0,2325.0,,101.0,48.0,301.0,62.0,135.0,250.0,232.5,0.09882583170254404,0.047619047619047616,0.12518778167250874,10,0.13132160885254726,14.02563886785043,0.07865168539325842,0.003010752688172043,0.0,0.0
Bluewood,Washington,Washington,5670,1125,4545,0,0,0,0,2,0,1,3,24.0,2.0,2.0,355.0,,70.0,40.0,300.0,47.0,110.0,,35.5,0.0684931506849315,0.09523809523809523,,10,0.13132160885254726,14.02563886785043,0.125,0.008450704225352112,0.0,0.0
Crystal Mountain,Washington,Washington,7012,3100,4400,1,2,2,1,2,2,0,10,57.0,1.0,2.5,2600.0,10.0,,57.0,486.0,99.0,,,260.0,,0.047619047619047616,,10,0.13132160885254726,14.02563886785043,0.17543859649122806,0.003846153846153847,0.03508771929824561,0.0007692307692307692
Mt. Baker,Washington,Washington,5000,1500,3500,0,0,0,8,0,0,2,10,38.0,,0.7,1000.0,,143.0,66.0,663.0,60.01,165.0,,100.0,0.13992172211350293,,,10,0.13132160885254726,14.02563886785043,0.2631578947368421,0.01,0.0,0.0
Mt. Spokane Ski and Snowboard Park,Washington,Washington,5889,2000,4200,0,0,0,0,1,5,1,7,52.0,3.0,0.6,1704.0,,100.0,81.0,300.0,59.0,103.0,45.0,170.4,0.09784735812133072,0.14285714285714285,0.022533800701051574,10,0.13132160885254726,14.02563886785043,0.1346153846153846,0.004107981220657277,0.0,0.0
The Summit at Snoqualmie,Washington,Washington,3865,1025,2840,0,0,3,3,4,10,7,27,112.0,5.0,0.8,1994.0,5.0,120.0,82.0,428.0,95.0,140.0,541.0,199.4,0.11741682974559685,0.2380952380952381,0.27090635953930897,10,0.13132160885254726,14.02563886785043,0.24107142857142855,0.013540621865596791,0.026785714285714284,0.0015045135406218655
White Pass,Washington,Washington,6550,2050,4500,0,0,2,1,1,2,2,8,45.0,2.0,2.5,1402.0,30.0,148.0,67.0,400.0,69.0,144.0,90.0,140.2,0.14481409001956946,0.09523809523809523,0.04506760140210316,10,0.13132160885254726,14.02563886785043,0.17777777777777778,0.005706134094151214,0.04444444444444445,0.0014265335235378034
Canaan Valley Resort,West Virginia,West Virginia,4280,850,3430,0,0,0,1,2,0,1,4,47.0,1.0,1.2,95.0,75.0,,48.0,160.0,68.0,93.0,,23.75,,0.1111111111111111,,4,0.22319597666932456,16.50846058605035,0.0851063829787234,0.042105263157894736,0.0,0.0
Snowshoe Mountain Resort,West Virginia,West Virginia,4848,1500,3348,0,0,3,2,6,0,3,14,60.0,5.0,1.5,257.0,257.0,125.0,46.0,180.0,87.0,138.0,86.0,64.25,0.3654970760233918,0.5555555555555556,0.4598930481283423,4,0.22319597666932456,16.50846058605035,0.2333333333333333,0.05447470817120623,0.05,0.011673151750972765
Timberline Four Seasons,West Virginia,West Virginia,4265,1000,3268,0,0,0,0,2,1,1,4,40.0,1.0,2.0,100.0,100.0,97.0,37.0,150.0,92.0,115.0,27.0,25.0,0.2836257309941521,0.1111111111111111,0.1443850267379679,4,0.22319597666932456,16.50846058605035,0.1,0.04,0.0,0.0
Winterplace Ski Resort,West Virginia,West Virginia,3600,603,2997,0,0,0,2,3,2,2,9,27.0,2.0,1.2,90.0,90.0,120.0,36.0,100.0,72.0,120.0,74.0,22.5,0.3508771929824561,0.2222222222222222,0.39572192513368987,4,0.22319597666932456,16.50846058605035,0.3333333333333333,0.1,0.0,0.0
Alpine Valley Resort,Wisconsin,Wisconsin,1040,388,820,0,0,3,0,3,1,5,12,21.0,3.0,0.2,90.0,90.0,100.0,55.0,80.0,65.0,120.0,90.0,6.0,0.06583278472679395,0.075,0.08450704225352113,15,0.2576242169511926,22.90216196408941,0.5714285714285714,0.13333333333333333,0.14285714285714285,0.03333333333333333
Bruce Mound,Wisconsin,Wisconsin,1375,375,1000,0,0,0,0,1,0,4,5,12.0,2.0,0.5,40.0,30.0,42.0,71.0,42.0,25.0,42.0,30.0,2.6666666666666665,0.027649769585253458,0.05,0.028169014084507043,15,0.2576242169511926,22.90216196408941,0.4166666666666667,0.125,0.0,0.0
Cascade Mountain,Wisconsin,Wisconsin,1280,460,820,0,0,2,2,3,2,3,12,47.0,4.0,1.1,175.0,175.0,120.0,57.0,56.0,64.0,120.0,,11.666666666666664,0.07899934167215274,0.1,,15,0.2576242169511926,22.90216196408941,0.2553191489361702,0.06857142857142857,0.0425531914893617,0.011428571428571429
Christie Mountain,Wisconsin,Wisconsin,1650,350,1300,0,0,0,0,0,1,5,6,30.0,4.0,0.8,45.0,41.0,92.0,43.0,48.0,38.0,120.0,35.0,3.0,0.06056616194865042,0.1,0.03286384976525822,15,0.2576242169511926,22.90216196408941,0.2,0.13333333333333333,0.0,0.0
Devils Head,Wisconsin,Wisconsin,995,500,495,0,0,0,3,1,6,2,12,27.0,1.0,1.0,260.0,260.0,110.0,48.0,45.0,65.0,135.0,200.0,17.333333333333332,0.07241606319947334,0.025,0.18779342723004694,15,0.2576242169511926,22.90216196408941,0.4444444444444444,0.04615384615384616,0.0,0.0
Grand Geneva,Wisconsin,Wisconsin,1086,211,875,0,0,0,0,0,3,3,6,20.0,1.0,0.2,30.0,30.0,90.0,25.0,25.0,49.0,93.0,30.0,2.0,0.05924950625411455,0.025,0.028169014084507043,15,0.2576242169511926,22.90216196408941,0.3,0.2,0.0,0.0
Granite Peak Ski Area,Wisconsin,Wisconsin,1942,700,1242,0,1,2,0,2,0,2,7,75.0,4.0,0.6,220.0,160.0,136.0,82.0,75.0,92.0,135.0,200.0,14.666666666666664,0.08953258722843976,0.1,0.18779342723004694,15,0.2576242169511926,22.90216196408941,0.09333333333333334,0.031818181818181815,0.02666666666666667,0.00909090909090909
Mount La Crosse,Wisconsin,Wisconsin,1110,516,594,0,0,0,0,0,3,1,4,19.0,1.0,0.4,100.0,100.0,115.0,60.0,40.0,56.0,100.0,90.0,6.666666666666668,0.07570770243581304,0.025,0.08450704225352113,15,0.2576242169511926,22.90216196408941,0.21052631578947367,0.04,0.0,0.0
Nordic Mountain,Wisconsin,Wisconsin,1137,265,872,0,0,0,0,1,1,5,7,18.0,4.0,1.0,60.0,60.0,68.0,43.0,80.0,47.0,90.0,60.0,4.0,0.04476629361421988,0.1,0.056338028169014086,15,0.2576242169511926,22.90216196408941,0.3888888888888889,0.11666666666666667,0.0,0.0
Sunburst,Wisconsin,Wisconsin,1100,214,866,0,0,0,0,0,3,6,9,13.0,4.0,0.5,37.0,37.0,99.0,59.0,50.0,44.0,115.0,37.0,2.466666666666667,0.065174456879526,0.1,0.03474178403755868,15,0.2576242169511926,22.90216196408941,0.6923076923076923,0.2432432432432433,0.0,0.0
Trollhaugen,Wisconsin,Wisconsin,1200,260,920,0,0,0,2,0,1,5,8,24.0,4.0,0.5,86.0,86.0,130.0,69.0,50.0,54.0,120.0,86.0,5.7333333333333325,0.08558262014483213,0.1,0.08075117370892017,15,0.2576242169511926,22.90216196408941,0.3333333333333333,0.09302325581395347,0.0,0.0
Tyrol Basin,Wisconsin,Wisconsin,1160,300,860,0,0,0,0,3,0,2,5,18.0,5.0,0.5,32.0,32.0,112.0,61.0,41.0,48.0,103.0,32.0,2.1333333333333333,0.07373271889400923,0.125,0.03004694835680751,15,0.2576242169511926,22.90216196408941,0.2777777777777778,0.15625,0.0,0.0
Whitecap Mountain,Wisconsin,Wisconsin,1750,400,1295,0,0,0,1,0,4,0,5,43.0,1.0,1.0,400.0,300.0,105.0,57.0,200.0,60.0,118.0,,26.66666666666667,0.06912442396313365,0.025,,15,0.2576242169511926,22.90216196408941,0.11627906976744184,0.0125,0.0,0.0
Wilmot Mountain,Wisconsin,Wisconsin,1030,230,800,0,0,0,3,2,2,3,10,23.0,2.0,0.5,135.0,135.0,125.0,81.0,70.0,66.0,139.0,135.0,9.0,0.08229098090849242,0.05,0.1267605633802817,15,0.2576242169511926,22.90216196408941,0.43478260869565216,0.07407407407407407,0.0,0.0
Grand Targhee Resort,Wyoming,Wyoming,9920,2270,7851,0,0,2,2,0,0,1,5,95.0,1.0,2.7,2602.0,,152.0,50.0,500.0,90.0,152.0,,325.25,0.2122905027932961,0.07142857142857142,,8,1.382267921535561,8.17887192908918,0.05263157894736842,0.0019215987701767872,0.021052631578947368,0.0007686395080707147
Hogadon Basin,Wyoming,Wyoming,8000,640,7400,0,0,0,0,0,1,1,2,28.0,1.0,0.6,92.0,32.0,121.0,61.0,80.0,48.0,95.0,,11.5,0.16899441340782126,0.07142857142857142,,8,1.382267921535561,8.17887192908918,0.07142857142857142,0.021739130434782608,0.0,0.0
Sleeping Giant Ski Resort,Wyoming,Wyoming,7428,810,6619,0,0,0,0,1,1,1,3,48.0,1.0,1.0,184.0,18.0,61.0,81.0,310.0,42.0,77.0,,23.0,0.08519553072625698,0.07142857142857142,,8,1.382267921535561,8.17887192908918,0.0625,0.016304347826086956,0.0,0.0
Snow King Resort,Wyoming,Wyoming,7808,1571,6237,0,0,0,1,1,1,0,3,32.0,2.0,1.0,400.0,250.0,121.0,80.0,300.0,59.0,123.0,110.0,50.0,0.16899441340782126,0.14285714285714285,1.0,8,1.382267921535561,8.17887192908918,0.09375,0.0075,0.0,0.0
Snowy Range Ski & Recreation Area,Wyoming,Wyoming,9663,990,8798,0,0,0,0,1,3,1,5,33.0,2.0,0.7,75.0,30.0,131.0,59.0,250.0,49.0,,,9.375,0.1829608938547486,0.14285714285714285,,8,1.382267921535561,8.17887192908918,0.15151515151515152,0.06666666666666668,0.0,0.0
White Pine Ski Area,Wyoming,Wyoming,9500,1100,8400,0,0,0,0,2,0,0,2,25.0,,0.4,370.0,,,81.0,150.0,49.0,,,46.25,,,,8,1.382267921535561,8.17887192908918,0.08,0.005405405405405407,0.0,0.0
